Estado/Provincia,País,Continente
California,Estados Unidos,América del Norte
Texas,Estados Unidos,América del Norte
Florida,Estados Unidos,América del Norte
Ontario,Canadá,América del Norte
Quebec,Canadá,América del Norte
British Columbia,Canadá,América del Norte
Queensland,Australia,Oceanía
New South Wales,Australia,Oceanía
Victoria,Australia,Oceanía
Baja California,México,América del Norte
Jalisco,México,América del Norte
Yucatán,México,América del Norte
Île-de-France,Francia,Europa
Provence-Alpes-Côte d'Azur,Francia,Europa
Nouvelle-Aquitaine,Francia,Europa
Bavaria,Alemania,Europa
North Rhine-Westphalia,Alemania,Europa
Baden-Württemberg,Alemania,Europa
São Paulo,Brasil,América del Sur
Rio de Janeiro,Brasil,América del Sur
Minas Gerais,Brasil,América del Sur
Gauteng,Sudáfrica,África
Western Cape,Sudáfrica,África
KwaZulu-Natal,Sudáfrica,África
Maharashtra,India,Asia
Tamil Nadu,India,Asia
Karnataka,India,Asia
Hokkaido,Japón,Asia
Tokyo,Japón,Asia
Osaka,Japón,Asia
